"date_fin_semaine","nb_ucd","nb_doses"
2020-12-27,9750,48750
2021-01-03,17160,85800
2021-01-10,90090,450450
2021-01-17,93405,467025
2021-01-24,52845,317070
2021-01-31,78780,472680
2021-02-07,75660,453960
2021-02-14,78195,469170
2021-02-21,98475,590850
2021-02-28,111735,670410
2021-03-07,127920,767520
2021-03-14,122850,737100
2021-03-21,133770,802620
2021-03-28,190320,1141920
2021-04-04,204555,1227330
2021-04-11,301275,1807650
2021-04-18,287625,1725750
2021-04-25,314145,1884870
2021-05-02,314145,1884870
2021-05-09,354900,2129400
2021-05-16,354900,2129400
2021-05-23,356850,2141100
2021-05-30,356850,2141100
2021-06-06,356850,2141100
