dep;clage_vacsi;jour;n_dose1;n_dose2;n_cum_dose1;n_cum_dose2
00;0;2021-02-05;1;0;1;0
00;0;2021-02-06;1;0;2;0
00;0;2021-02-08;0;1;2;1
00;0;2021-02-09;0;1;2;2
00;59;2021-02-09;0;1;0;1
00;69;2021-02-08;0;1;0;1
00;79;2021-02-05;1;0;1;0
00;80;2021-02-06;1;0;1;0
01;0;2021-01-06;1;0;1;0
01;0;2021-01-07;66;0;67;0
01;0;2021-01-08;159;0;226;0
01;0;2021-01-09;2;0;228;0
01;0;2021-01-11;140;0;368;0
01;0;2021-01-12;282;0;650;0
01;0;2021-01-13;428;0;1078;0
01;0;2021-01-14;491;0;1569;0
01;0;2021-01-15;395;0;1964;0
01;0;2021-01-16;199;2;2163;2
01;0;2021-01-17;126;0;2289;2
01;0;2021-01-18;358;0;2647;2
01;0;2021-01-19;1036;0;3683;2
01;0;2021-01-20;1218;0;4901;2
01;0;2021-01-21;1081;0;5982;2
01;0;2021-01-22;644;0;6626;2
01;0;2021-01-23;221;0;6847;2
01;0;2021-01-24;68;0;6915;2
01;0;2021-01-25;468;1;7383;3
01;0;2021-01-26;719;0;8102;3
01;0;2021-01-27;508;0;8610;3
01;0;2021-01-28;663;99;9273;102
01;0;2021-01-29;632;65;9905;167
01;0;2021-01-30;231;1;10136;168
01;0;2021-01-31;59;0;10195;168
01;0;2021-02-01;427;80;10622;248
01;0;2021-02-02;506;215;11128;463
01;0;2021-02-03;356;348;11484;811
01;0;2021-02-04;472;424;11956;1235
01;0;2021-02-05;427;251;12383;1486
01;0;2021-02-06;243;138;12626;1624
01;0;2021-02-07;2;113;12628;1737
01;0;2021-02-08;481;376;13109;2113
01;0;2021-02-09;722;879;13831;2992
01;0;2021-02-10;904;905;14735;3897
01;0;2021-02-11;748;812;15483;4709
01;0;2021-02-12;601;458;16084;5167
01;0;2021-02-13;156;151;16240;5318
01;0;2021-02-14;0;1;16240;5319
01;0;2021-02-15;421;392;16661;5711
01;0;2021-02-16;629;434;17290;6145
01;0;2021-02-17;429;185;17719;6330
01;0;2021-02-18;570;482;18289;6812
01;0;2021-02-19;553;236;18842;7048
01;0;2021-02-20;196;83;19038;7131
01;0;2021-02-22;422;520;19460;7651
01;0;2021-02-23;477;509;19937;8160
01;0;2021-02-24;362;428;20299;8588
01;0;2021-02-25;773;597;21072;9185
01;0;2021-02-26;812;516;21884;9701
01;0;2021-02-27;464;98;22348;9799
01;0;2021-02-28;20;0;22368;9799
01;0;2021-03-01;531;441;22899;10240
01;0;2021-03-02;831;503;23730;10743
01;0;2021-03-03;850;607;24580;11350
01;24;2021-01-15;1;0;1;0
01;24;2021-01-16;3;0;4;0
01;24;2021-01-20;3;0;7;0
01;24;2021-01-21;1;0;8;0
01;24;2021-01-22;3;0;11;0
01;24;2021-01-26;1;0;12;0
01;24;2021-01-27;4;0;16;0
01;24;2021-01-29;2;0;18;0
01;24;2021-01-31;1;0;19;0
01;24;2021-02-05;1;1;20;1
01;24;2021-02-06;0;1;20;2
01;24;2021-02-08;2;0;22;2
01;24;2021-02-09;3;0;25;2
01;24;2021-02-10;8;3;33;5
01;24;2021-02-11;4;2;37;7
01;24;2021-02-12;4;1;41;8
01;24;2021-02-13;0;2;41;10
01;24;2021-02-15;1;0;42;10
01;24;2021-02-16;3;0;45;10
01;24;2021-02-17;4;0;49;10
01;24;2021-02-18;11;1;60;11
01;24;2021-02-19;7;2;67;13
01;24;2021-02-22;3;0;70;13
01;24;2021-02-23;2;2;72;15
01;24;2021-02-24;2;2;74;17
01;24;2021-02-25;11;1;85;18
01;24;2021-02-26;5;1;90;19
01;24;2021-02-27;2;0;92;19
01;24;2021-03-01;2;1;94;20
01;24;2021-03-02;4;0;98;20
01;24;2021-03-03;7;3;105;23
01;29;2021-01-11;2;0;2;0
01;29;2021-01-12;4;0;6;0
01;29;2021-01-13;2;0;8;0
01;29;2021-01-14;4;0;12;0
01;29;2021-01-15;2;0;14;0
01;29;2021-01-16;2;0;16;0
01;29;2021-01-17;1;0;17;0
01;29;2021-01-18;1;0;18;0
01;29;2021-01-19;3;0;21;0
01;29;2021-01-20;7;0;28;0
01;29;2021-01-21;5;0;33;0
01;29;2021-01-22;7;0;40;0
01;29;2021-01-23;1;0;41;0
01;29;2021-01-26;7;0;48;0
01;29;2021-01-27;4;0;52;0
01;29;2021-01-28;1;0;53;0
01;29;2021-01-29;4;0;57;0
01;29;2021-02-01;0;1;57;1
01;29;2021-02-02;2;5;59;6
01;29;2021-02-03;0;2;59;8
01;29;2021-02-04;1;3;60;11
01;29;2021-02-05;0;2;60;13
01;29;2021-02-06;0;1;60;14
01;29;2021-02-07;0;1;60;15
01;29;2021-02-08;7;2;67;17
01;29;2021-02-09;11;5;78;22
01;29;2021-02-10;20;6;98;28
01;29;2021-02-11;13;3;111;31
01;29;2021-02-12;6;6;117;37
01;29;2021-02-15;0;1;117;38
01;29;2021-02-16;9;4;126;42
01;29;2021-02-17;8;1;134;43
01;29;2021-02-18;10;2;144;45
01;29;2021-02-19;6;1;150;46
01;29;2021-02-22;2;0;152;46
01;29;2021-02-23;7;2;159;48
01;29;2021-02-24;2;2;161;50
01;29;2021-02-25;11;1;172;51
01;29;2021-02-26;4;1;176;52
01;29;2021-02-27;1;0;177;52
01;29;2021-03-01;5;1;182;53
01;29;2021-03-02;8;3;190;56
01;29;2021-03-03;13;2;203;58
01;39;2021-01-08;1;0;1;0
01;39;2021-01-11;9;0;10;0
01;39;2021-01-12;14;0;24;0
01;39;2021-01-13;17;0;41;0
01;39;2021-01-14;15;0;56;0
01;39;2021-01-15;24;0;80;0
01;39;2021-01-16;8;0;88;0
01;39;2021-01-17;2;0;90;0
01;39;2021-01-18;4;0;94;0
01;39;2021-01-19;13;0;107;0
01;39;2021-01-20;21;0;128;0
01;39;2021-01-21;21;0;149;0
01;39;2021-01-22;22;0;171;0
01;39;2021-01-23;1;0;172;0
01;39;2021-01-26;11;0;183;0
01;39;2021-01-27;12;0;195;0
01;39;2021-01-28;12;0;207;0
01;39;2021-01-29;6;0;213;0
01;39;2021-01-30;1;0;214;0
01;39;2021-01-31;1;0;215;0
01;39;2021-02-01;2;5;217;5
01;39;2021-02-02;4;11;221;16
01;39;2021-02-03;0;11;221;27
01;39;2021-02-04;0;15;221;42
01;39;2021-02-05;1;19;222;61
01;39;2021-02-06;1;1;223;62
01;39;2021-02-07;0;2;223;64
01;39;2021-02-08;17;8;240;72
01;39;2021-02-09;31;16;271;88
01;39;2021-02-10;37;23;308;111
01;39;2021-02-11;21;14;329;125
01;39;2021-02-12;12;13;341;138
01;39;2021-02-13;1;1;342;139
01;39;2021-02-15;1;5;343;144
01;39;2021-02-16;15;8;358;152
01;39;2021-02-17;16;0;374;152
01;39;2021-02-18;25;13;399;165
01;39;2021-02-19;18;5;417;170
01;39;2021-02-22;20;3;437;173
01;39;2021-02-23;14;9;451;182
01;39;2021-02-24;10;1;461;183
01;39;2021-02-25;33;1;494;184
01;39;2021-02-26;54;4;548;188
01;39;2021-02-27;7;1;555;189
01;39;2021-03-01;22;5;577;194
01;39;2021-03-02;36;6;613;200
01;39;2021-03-03;40;10;653;210
01;49;2021-01-07;1;0;1;0
01;49;2021-01-08;5;0;6;0
01;49;2021-01-11;18;0;24;0
01;49;2021-01-12;32;0;56;0
01;49;2021-01-13;31;0;87;0
01;49;2021-01-14;33;0;120;0
01;49;2021-01-15;40;0;160;0
01;49;2021-01-16;11;0;171;0
01;49;2021-01-17;4;0;175;0
01;49;2021-01-18;8;0;183;0
01;49;2021-01-19;24;0;207;0
01;49;2021-01-20;56;0;263;0
01;49;2021-01-21;36;0;299;0
01;49;2021-01-22;19;0;318;0
01;49;2021-01-23;4;0;322;0
01;49;2021-01-24;3;0;325;0
01;49;2021-01-25;10;0;335;0
01;49;2021-01-26;24;0;359;0
01;49;2021-01-27;20;0;379;0
01;49;2021-01-28;17;0;396;0
01;49;2021-01-29;22;4;418;4
01;49;2021-01-30;5;1;423;5
01;49;2021-02-01;5;16;428;21
01;49;2021-02-02;15;26;443;47
01;49;2021-02-03;8;26;451;73
01;49;2021-02-04;9;21;460;94
01;49;2021-02-05;7;26;467;120
01;49;2021-02-06;2;6;469;126
01;49;2021-02-07;1;2;470;128
01;49;2021-02-08;20;14;490;142
01;49;2021-02-09;38;32;528;174
01;49;2021-02-10;53;48;581;222
01;49;2021-02-11;52;29;633;251
01;49;2021-02-12;24;21;657;272
01;49;2021-02-13;5;4;662;276
01;49;2021-02-15;8;15;670;291
01;49;2021-02-16;26;10;696;301
01;49;2021-02-17;29;4;725;305
01;49;2021-02-18;45;20;770;325
01;49;2021-02-19;42;12;812;337
01;49;2021-02-20;3;1;815;338
01;49;2021-02-22;27;11;842;349
01;49;2021-02-23;16;25;858;374
01;49;2021-02-24;17;11;875;385
01;49;2021-02-25;67;8;942;393
01;49;2021-02-26;49;8;991;401
01;49;2021-02-27;24;2;1015;403
01;49;2021-02-28;2;0;1017;403
01;49;2021-03-01;23;4;1040;407
01;49;2021-03-02;53;16;1093;423
01;49;2021-03-03;52;26;1145;449
01;59;2021-01-06;1;0;1;0
01;59;2021-01-07;15;0;16;0
01;59;2021-01-08;27;0;43;0
01;59;2021-01-11;46;0;89;0
01;59;2021-01-12;113;0;202;0
01;59;2021-01-13;138;0;340;0
01;59;2021-01-14;186;0;526;0
01;59;2021-01-15;123;0;649;0
01;59;2021-01-16;32;2;681;2
01;59;2021-01-17;59;0;740;2
01;59;2021-01-18;53;0;793;2
01;59;2021-01-19;131;0;924;2
01;59;2021-01-20;193;0;1117;2
01;59;2021-01-21;84;0;1201;2
01;59;2021-01-22;82;0;1283;2
01;59;2021-01-23;5;0;1288;2
01;59;2021-01-24;6;0;1294;2
01;59;2021-01-25;32;0;1326;2
01;59;2021-01-26;38;0;1364;2
01;59;2021-01-27;45;0;1409;2
01;59;2021-01-28;51;16;1460;18
01;59;2021-01-29;36;25;1496;43
01;59;2021-01-30;9;0;1505;43
01;59;2021-01-31;2;0;1507;43
01;59;2021-02-01;29;33;1536;76
01;59;2021-02-02;35;74;1571;150
01;59;2021-02-03;22;105;1593;255
01;59;2021-02-04;31;140;1624;395
01;59;2021-02-05;21;70;1645;465
01;59;2021-02-06;13;22;1658;487
01;59;2021-02-07;1;52;1659;539
01;59;2021-02-08;26;61;1685;600
01;59;2021-02-09;57;177;1742;777
01;59;2021-02-10;52;197;1794;974
01;59;2021-02-11;56;96;1850;1070
01;59;2021-02-12;58;90;1908;1160
01;59;2021-02-13;6;5;1914;1165
01;59;2021-02-15;36;36;1950;1201
01;59;2021-02-16;34;33;1984;1234
01;59;2021-02-17;33;9;2017;1243
01;59;2021-02-18;43;38;2060;1281
01;59;2021-02-19;42;26;2102;1307
01;59;2021-02-20;6;1;2108;1308
01;59;2021-02-22;34;35;2142;1343
01;59;2021-02-23;25;28;2167;1371
01;59;2021-02-24;28;39;2195;1410
01;59;2021-02-25;150;36;2345;1446
01;59;2021-02-26;195;23;2540;1469
01;59;2021-02-27;133;8;2673;1477
01;59;2021-02-28;8;0;2681;1477
01;59;2021-03-01;54;29;2735;1506
01;59;2021-03-02;136;41;2871;1547
01;59;2021-03-03;157;45;3028;1592
01;64;2021-01-07;8;0;8;0
01;64;2021-01-08;9;0;17;0
01;64;2021-01-11;15;0;32;0
01;64;2021-01-12;36;0;68;0
01;64;2021-01-13;48;0;116;0
01;64;2021-01-14;63;0;179;0
01;64;2021-01-15;48;0;227;0
01;64;2021-01-16;12;0;239;0
01;64;2021-01-17;23;0;262;0
01;64;2021-01-18;27;0;289;0
01;64;2021-01-19;57;0;346;0
01;64;2021-01-20;53;0;399;0
01;64;2021-01-21;44;0;443;0
01;64;2021-01-22;44;0;487;0
01;64;2021-01-23;2;0;489;0
01;64;2021-01-24;1;0;490;0
01;64;2021-01-25;14;1;504;1
01;64;2021-01-26;38;0;542;1
01;64;2021-01-27;12;0;554;1
01;64;2021-01-28;20;10;574;11
01;64;2021-01-29;24;7;598;18
01;64;2021-01-30;4;0;602;18
01;64;2021-01-31;1;0;603;18
01;64;2021-02-01;10;13;613;31
01;64;2021-02-02;14;26;627;57
01;64;2021-02-03;7;29;634;86
01;64;2021-02-04;19;39;653;125
01;64;2021-02-05;13;22;666;147
01;64;2021-02-06;1;11;667;158
01;64;2021-02-07;0;22;667;180
01;64;2021-02-08;17;23;684;203
01;64;2021-02-09;26;67;710;270
01;64;2021-02-10;23;60;733;330
01;64;2021-02-11;25;54;758;384
01;64;2021-02-12;30;57;788;441
01;64;2021-02-13;4;3;792;444
01;64;2021-02-15;13;14;805;458
01;64;2021-02-16;18;12;823;470
01;64;2021-02-17;16;4;839;474
01;64;2021-02-18;19;18;858;492
01;64;2021-02-19;13;9;871;501
01;64;2021-02-20;9;2;880;503
01;64;2021-02-22;10;15;890;518
01;64;2021-02-23;13;21;903;539
01;64;2021-02-24;18;8;921;547
01;64;2021-02-25;101;18;1022;565
01;64;2021-02-26;147;20;1169;585
01;64;2021-02-27;108;0;1277;585
01;64;2021-02-28;10;0;1287;585
01;64;2021-03-01;59;13;1346;598
01;64;2021-03-02;81;12;1427;610
01;64;2021-03-03;112;11;1539;621
01;69;2021-01-07;3;0;3;0
01;69;2021-01-08;6;0;9;0
01;69;2021-01-11;10;0;19;0
01;69;2021-01-12;16;0;35;0
01;69;2021-01-13;30;0;65;0
01;69;2021-01-14;27;0;92;0
01;69;2021-01-15;28;0;120;0
01;69;2021-01-16;6;0;126;0
01;69;2021-01-17;13;0;139;0
01;69;2021-01-18;10;0;149;0
01;69;2021-01-19;28;0;177;0
01;69;2021-01-20;34;0;211;0
01;69;2021-01-21;27;0;238;0
01;69;2021-01-22;25;0;263;0
01;69;2021-01-24;1;0;264;0
01;69;2021-01-25;21;0;285;0
01;69;2021-01-26;26;0;311;0
01;69;2021-01-27;21;0;332;0
01;69;2021-01-28;28;4;360;4
01;69;2021-01-29;26;2;386;6
01;69;2021-01-30;4;0;390;6
01;69;2021-02-01;16;7;406;13
01;69;2021-02-02;18;17;424;30
01;69;2021-02-03;14;17;438;47
01;69;2021-02-04;8;27;446;74
01;69;2021-02-05;16;15;462;89
01;69;2021-02-06;8;5;470;94
01;69;2021-02-07;0;11;470;105
01;69;2021-02-08;8;17;478;122
01;69;2021-02-09;12;30;490;152
01;69;2021-02-10;33;30;523;182
01;69;2021-02-11;29;31;552;213
01;69;2021-02-12;32;18;584;231
01;69;2021-02-13;3;0;587;231
01;69;2021-02-15;21;11;608;242
01;69;2021-02-16;25;10;633;252
01;69;2021-02-17;18;3;651;255
01;69;2021-02-18;17;16;668;271
01;69;2021-02-19;15;3;683;274
01;69;2021-02-20;4;5;687;279
01;69;2021-02-22;13;26;700;305
01;69;2021-02-23;22;17;722;322
01;69;2021-02-24;10;16;732;338
