dep;jour;res_vac_tot_dose1;res_vac_tot_dose2;res_couv_tot_dose1;res_couv_tot_dose2
00;2021-04-12;1;0;;
01;2021-04-12;5142;3599;83.4;58.4
02;2021-04-12;4640;3766;80.0;64.9
03;2021-04-12;3948;3140;76.1;60.5
04;2021-04-12;1970;1389;94.4;66.6
05;2021-04-12;1334;950;84.1;59.9
06;2021-04-12;8626;6573;72.4;55.2
07;2021-04-12;4922;3891;83.8;66.3
08;2021-04-12;3500;2544;100.0;100.0
09;2021-04-12;1821;1496;87.0;71.4
10;2021-04-12;2758;2271;76.9;63.3
11;2021-04-12;4032;3230;93.0;74.5
12;2021-04-12;4736;3888;89.7;73.7
13;2021-04-12;17890;12243;100.0;74.7
14;2021-04-12;9295;7268;100.0;93.1
15;2021-04-12;2385;1877;80.3;63.2
16;2021-04-12;5443;4506;100.0;85.2
17;2021-04-12;8740;7158;100.0;83.2
18;2021-04-12;4151;3149;95.0;72.0
19;2021-04-12;3823;3035;100.0;81.0
21;2021-04-12;6046;4615;96.1;73.4
22;2021-04-12;9882;8237;100.0;88.3
23;2021-04-12;2654;2135;100.0;80.9
24;2021-04-12;5845;4454;96.9;73.9
25;2021-04-12;3754;2916;99.9;77.6
26;2021-04-12;4213;3004;84.6;60.3
27;2021-04-12;5052;3836;100.0;77.2
28;2021-04-12;4116;3208;93.9;73.2
29;2021-04-12;12378;10071;100.0;83.2
2A;2021-04-12;1172;676;100.0;70.1
2B;2021-04-12;1210;954;100.0;86.8
30;2021-04-12;6482;4957;96.8;74.1
31;2021-04-12;11260;8454;100.0;81.6
32;2021-04-12;2947;2250;100.0;76.5
33;2021-04-12;13941;11024;100.0;80.4
34;2021-04-12;10488;8496;100.0;82.9
35;2021-04-12;11450;9339;98.6;80.4
36;2021-04-12;3245;2651;94.6;77.3
37;2021-04-12;6483;4733;100.0;74.1
38;2021-04-12;8212;6388;90.7;70.5
39;2021-04-12;2216;1755;72.4;57.4
40;2021-04-12;4834;3787;100.0;78.3
41;2021-04-12;4478;3695;94.1;77.6
42;2021-04-12;9001;7434;89.6;74.0
43;2021-04-12;4706;2964;100.0;78.7
44;2021-04-12;15792;13143;100.0;85.8
45;2021-04-12;5609;4524;83.8;67.6
46;2021-04-12;2791;2078;100.0;85.2
47;2021-04-12;3548;2858;85.1;68.6
48;2021-04-12;1498;1304;90.3;78.6
49;2021-04-12;10633;8360;100.0;80.8
50;2021-04-12;6148;5105;100.0;85.5
51;2021-04-12;4569;3425;84.2;63.1
52;2021-04-12;1870;1168;89.3;55.8
53;2021-04-12;4735;3621;100.0;79.2
54;2021-04-12;6426;4300;95.8;64.1
55;2021-04-12;1898;1181;86.5;53.9
56;2021-04-12;9469;8164;100.0;91.6
57;2021-04-12;9027;6489;100.0;73.8
58;2021-04-12;3108;2370;84.8;64.7
59;2021-04-12;19545;14816;97.1;73.6
60;2021-04-12;6527;4859;93.9;69.9
61;2021-04-12;4870;4046;100.0;86.6
62;2021-04-12;10723;7192;98.8;66.3
63;2021-04-12;6382;5224;80.9;66.2
64;2021-04-12;8347;6066;100.0;77.4
65;2021-04-12;2652;1959;85.9;63.4
66;2021-04-12;5287;4402;100.0;98.3
67;2021-04-12;10112;8114;100.0;84.2
68;2021-04-12;6365;5162;90.4;73.3
69;2021-04-12;13695;9553;98.5;68.7
70;2021-04-12;1575;1129;73.0;52.3
71;2021-04-12;8019;5337;100.0;67.7
72;2021-04-12;6517;5024;94.4;72.8
73;2021-04-12;5396;4436;100.0;100.0
74;2021-04-12;4578;3263;82.5;58.8
75;2021-04-12;10533;7017;100.0;88.9
76;2021-04-12;11346;8827;99.8;77.6
77;2021-04-12;8769;6611;86.8;65.5
78;2021-04-12;9160;7162;97.2;76.0
79;2021-04-12;4768;4064;80.7;68.8
80;2021-04-12;4886;3921;90.7;72.8
81;2021-04-12;5119;3909;93.0;71.0
82;2021-04-12;2931;2202;100.0;77.7
83;2021-04-12;10183;7328;97.5;70.2
84;2021-04-12;5169;3860;100.0;83.1
85;2021-04-12;11294;9406;100.0;90.8
86;2021-04-12;5773;4430;100.0;77.5
87;2021-04-12;4431;3017;100.0;69.6
88;2021-04-12;6370;4237;100.0;77.7
89;2021-04-12;4930;3866;86.1;67.5
90;2021-04-12;1234;1019;90.6;74.8
91;2021-04-12;8378;6206;95.5;70.7
92;2021-04-12;10398;8314;96.1;76.8
93;2021-04-12;6808;4912;100.0;77.8
94;2021-04-12;7627;5330;100.0;71.9
95;2021-04-12;6359;4828;89.3;67.8
971;2021-04-12;410;288;28.8;20.3
972;2021-04-12;412;289;23.7;16.6
973;2021-04-12;163;130;73.4;58.6
974;2021-04-12;1306;1016;85.4;66.4
977;2021-04-12;4;3;;
