fra;vaccin;jour;n_dose1;n_dose2;n_dose3;n_dose4;n_complet;n_rappel;n_2_rappel;n_rappel_biv;n_3_rappel;n_cum_dose1;n_cum_dose2;n_cum_dose3;n_cum_dose4;n_cum_complet;n_cum_rappel;n_cum_2_rappel;n_cum_rappel_biv;n_cum_3_rappel
FR;1;2020-12-27;616;0;0;0;55;0;0;0;0;616;0;0;0;55;0;0;0;0
FR;1;2020-12-28;704;1;0;0;43;0;0;0;0;1320;1;0;0;98;0;0;0;0
FR;1;2020-12-29;387;0;0;0;19;0;0;0;0;1707;1;0;0;117;0;0;0;0
FR;1;2020-12-30;454;0;0;0;19;0;0;0;0;2161;1;0;0;136;0;0;0;0
FR;1;2020-12-31;449;1;0;0;21;0;0;0;0;2610;2;0;0;157;0;0;0;0
FR;1;2021-01-01;1192;2;0;0;66;0;0;0;0;3802;4;0;0;223;0;0;0;0
FR;1;2021-01-02;368;4;0;0;29;0;0;0;0;4170;8;0;0;252;0;0;0;0
FR;1;2021-01-03;417;0;0;0;23;0;0;0;0;4587;8;0;0;275;0;0;0;0
FR;1;2021-01-04;2138;5;0;0;51;0;0;0;0;6725;13;0;0;326;0;0;0;0
FR;1;2021-01-05;7771;6;0;0;128;0;0;0;0;14496;19;0;0;454;0;0;0;0
FR;1;2021-01-06;12477;23;0;0;127;0;0;0;0;26973;42;0;0;581;0;0;0;0
FR;1;2021-01-07;29477;23;0;0;159;0;0;0;0;56450;65;0;0;740;0;0;0;0
FR;1;2021-01-08;37169;35;0;0;203;0;0;0;0;93619;100;0;0;943;0;0;0;0
FR;1;2021-01-09;11220;9;0;0;77;0;0;0;0;104839;109;0;0;1020;0;0;0;0
FR;1;2021-01-10;6015;8;0;0;28;0;0;0;0;110854;117;0;0;1048;0;0;0;0
FR;1;2021-01-11;39954;39;0;0;231;0;0;0;0;150808;156;0;0;1279;0;0;0;0
FR;1;2021-01-12;62159;30;0;0;298;0;0;0;0;212967;186;0;0;1577;0;0;0;0
FR;1;2021-01-13;65146;62;0;0;433;0;0;0;0;278113;248;0;0;2010;0;0;0;0
FR;1;2021-01-14;81469;258;0;0;959;0;0;0;0;359582;506;0;0;2969;0;0;0;0
FR;1;2021-01-15;68634;101;0;0;528;0;0;0;0;428216;607;0;0;3497;0;0;0;0
FR;1;2021-01-16;19903;73;0;0;172;0;0;0;0;448119;680;0;0;3669;0;0;0;0
FR;1;2021-01-17;10909;54;0;0;130;0;0;0;0;459028;734;0;0;3799;0;0;0;0
FR;1;2021-01-18;82848;176;0;0;589;0;0;0;0;541876;910;0;0;4388;0;0;0;0
FR;1;2021-01-19;125935;208;0;0;837;0;0;0;0;667811;1118;0;0;5225;0;0;0;0
FR;1;2021-01-20;132429;190;0;0;779;0;0;0;0;800240;1308;0;0;6004;0;0;0;0
FR;1;2021-01-21;153083;196;0;0;897;0;0;0;0;953323;1504;0;0;6901;0;0;0;0
FR;1;2021-01-22;115968;239;0;0;775;0;0;0;0;1069291;1743;0;0;7676;0;0;0;0
FR;1;2021-01-23;36616;81;0;0;204;0;0;0;0;1105907;1824;0;0;7880;0;0;0;0
FR;1;2021-01-24;9589;127;0;0;186;0;0;0;0;1115496;1951;0;0;8066;0;0;0;0
FR;1;2021-01-25;74441;1450;0;0;1768;0;0;0;0;1189937;3401;0;0;9834;0;0;0;0
FR;1;2021-01-26;96468;3700;1;0;4142;0;0;0;0;1286405;7101;1;0;13976;0;0;0;0
FR;1;2021-01-27;103659;6436;0;0;7120;0;0;0;0;1390064;13537;1;0;21096;0;0;0;0
FR;1;2021-01-28;120623;16390;0;0;17178;0;0;0;0;1510687;29927;1;0;38274;0;0;0;0
FR;1;2021-01-29;88902;18761;0;0;19301;0;0;0;0;1599589;48688;1;0;57575;0;0;0;0
FR;1;2021-01-30;27995;4526;0;0;4650;0;0;0;0;1627584;53214;1;0;62225;0;0;0;0
FR;1;2021-01-31;5194;1903;0;0;1941;0;0;0;0;1632778;55117;1;0;64166;0;0;0;0
FR;1;2021-02-01;49750;23004;0;0;23244;0;0;0;0;1682528;78121;1;0;87410;0;0;0;0
FR;1;2021-02-02;67838;38118;0;0;38576;0;0;0;0;1750366;116239;1;0;125986;0;0;0;0
FR;1;2021-02-03;67104;40166;0;0;40599;0;0;0;0;1817470;156405;1;0;166585;0;0;0;0
FR;1;2021-02-04;77149;55009;0;0;55579;0;0;0;0;1894619;211414;1;0;222164;0;0;0;0
FR;1;2021-02-05;63435;48166;0;0;48570;0;0;0;0;1958054;259580;1;0;270734;0;0;0;0
FR;1;2021-02-06;19428;11419;0;0;11526;0;0;0;0;1977482;270999;1;0;282260;0;0;0;0
FR;1;2021-02-07;3669;6060;0;0;6087;0;0;0;0;1981151;277059;1;0;288347;0;0;0;0
FR;1;2021-02-08;36508;48729;0;0;48979;0;0;0;0;2017659;325788;1;0;337326;0;0;0;0
FR;1;2021-02-09;50825;78348;0;0;78874;0;0;0;0;2068484;404136;1;0;416200;0;0;0;0
FR;1;2021-02-10;52080;83320;0;0;83801;0;0;0;0;2120564;487456;1;0;500001;0;0;0;0
FR;1;2021-02-11;63393;105373;0;0;106267;0;0;0;0;2183957;592829;1;0;606268;0;0;0;0
FR;1;2021-02-12;55886;75776;0;0;76459;0;0;0;0;2239843;668605;1;0;682727;0;0;0;0
FR;1;2021-02-13;15470;19294;0;0;19406;0;0;0;0;2255313;687899;1;0;702133;0;0;0;0
FR;1;2021-02-14;3747;7335;0;0;7401;0;0;0;0;2259060;695234;1;0;709534;0;0;0;0
FR;1;2021-02-15;24172;73660;0;0;73912;0;0;0;0;2283232;768894;1;0;783446;0;0;0;0
FR;1;2021-02-16;32787;95531;0;0;95930;0;0;0;0;2316019;864425;1;0;879376;0;0;0;0
FR;1;2021-02-17;35135;102286;20;0;102937;0;0;0;0;2351154;966711;21;0;982313;0;0;0;0
FR;1;2021-02-18;49463;118439;0;0;119428;0;0;0;0;2400617;1085150;21;0;1101741;0;0;0;0
FR;1;2021-02-19;45399;87757;1;0;88698;0;0;0;0;2446016;1172907;22;0;1190439;0;0;0;0
FR;1;2021-02-20;13398;27023;0;0;27199;0;0;0;0;2459414;1199930;22;0;1217638;0;0;0;0
FR;1;2021-02-21;2470;5944;0;0;6012;0;0;0;0;2461884;1205874;22;0;1223650;0;0;0;0
FR;1;2021-02-22;24725;69414;2;0;69708;0;0;0;0;2486609;1275288;24;0;1293358;0;0;0;0
FR;1;2021-02-23;37441;81518;1;0;82215;0;0;0;0;2524050;1356806;25;0;1375573;0;0;0;0
FR;1;2021-02-24;40714;79358;1;0;80056;0;0;0;0;2564764;1436164;26;0;1455629;0;0;0;0
FR;1;2021-02-25;50173;87767;1;0;88857;0;0;0;0;2614937;1523931;27;0;1544486;0;0;0;0
FR;1;2021-02-26;47233;67547;1;0;68424;0;0;0;0;2662170;1591478;28;0;1612910;0;0;0;0
FR;1;2021-02-27;15689;21351;1;0;21561;0;0;0;0;2677859;1612829;29;0;1634471;0;0;0;0
